SEG NUM, PARENT, CHILDREN, START X, START Y, START X, END X, END Y, END Z, DIST 2 ROOT, MAX DIST 2 ROOT, 
1, NO PARENT, pr: 2 pr: 3 , 0, 100, 0, 0, 82.6675, 0, 0, 0, 
2, 1, pr: 4 pr: 5 , 0, 82.6675, 0, -2.61119, 79.0593, 1.29834, 0, 0, 
3, 1, pr: 514 pr: 515 , 0, 82.6675, 0, 3.75731, 73.3948, -4.19142, 0, 0, 
4, 2, pr: 6 pr: 7 , -2.61119, 79.0593, 1.29834, -9.07375, 74.5126, -1.05151, 0, 0, 
5, 2, pr: 260 pr: 261 , -2.61119, 79.0593, 1.29834, -2.61418, 74.1568, 1.86472, 0, 0, 
6, 4, pr: 8 pr: 9 , -9.07375, 74.5126, -1.05151, -10.1575, 71.5936, -3.3789, 0, 0, 
7, 4, pr: 134 pr: 135 , -9.07375, 74.5126, -1.05151, -11.0331, 70.5041, -0.895851, 0, 0, 
8, 6, pr: 10 pr: 11 , -10.1575, 71.5936, -3.3789, -9.24907, 69.7072, -5.1893, 0, 0, 
9, 6, pr: 72 pr: 73 , -10.1575, 71.5936, -3.3789, -10.9125, 67.5864, -3.09844, 0, 0, 
10, 8, pr: 12 pr: 13 , -9.24907, 69.7072, -5.1893, -9.1337, 66.8313, -5.87319, 0, 0, 
11, 8, pr: 42 pr: 43 , -9.24907, 69.7072, -5.1893, -7.8372, 67.691, -5.12128, 0, 0, 
12, 10, pr: 14 pr: 15 , -9.1337, 66.8313, -5.87319, -9.22297, 65.9909, -6.85933, 0, 0, 
13, 10, pr: 28 pr: 29 , -9.1337, 66.8313, -5.87319, -9.91649, 65.433, -6.01784, 0, 0, 
14, 12, pr: 16 pr: 17 , -9.22297, 65.9909, -6.85933, -9.4422, 65.8751, -8.20122, 0, 0, 
15, 12, pr: 22 pr: 23 , -9.22297, 65.9909, -6.85933, -9.46055, 64.7879, -7.10369, 0, 0, 
16, 14, pr: 18 pr: 19 , -9.4422, 65.8751, -8.20122, -9.52155, 66.1263, -8.82666, 0, 0, 
17, 14, pr: 20 pr: 21 , -9.4422, 65.8751, -8.20122, -9.92856, 66.3508, -8.97867, 0, 0, 
18, 16, NO CHILDREN, -9.52155, 66.1263, -8.82666, -9.43989, 66.5263, -9.12903, 0, 0, 
19, 16, NO CHILDREN, -9.52155, 66.1263, -8.82666, -9.47097, 66.1585, -9.18382, 0, 0, 
20, 17, NO CHILDREN, -9.92856, 66.3508, -8.97867, -10.2685, 66.553, -9.15841, 0, 0, 
21, 17, NO CHILDREN, -9.92856, 66.3508, -8.97867, -10.1405, 66.2861, -9.63593, 0, 0, 
22, 15, pr: 24 pr: 25 , -9.46055, 64.7879, -7.10369, -9.78946, 64.3142, -7.02819, 0, 0, 
23, 15, pr: 26 pr: 27 , -9.46055, 64.7879, -7.10369, -9.33529, 64.4807, -7.14453, 0, 0, 
24, 22, NO CHILDREN, -9.78946, 64.3142, -7.02819, -10.4188, 64.05, -7.15119, 0, 0, 
25, 22, NO CHILDREN, -9.78946, 64.3142, -7.02819, -9.75725, 63.8037, -6.73255, 0, 0, 
26, 23, NO CHILDREN, -9.33529, 64.4807, -7.14453, -8.85365, 63.945, -7.06152, 0, 0, 
27, 23, NO CHILDREN, -9.33529, 64.4807, -7.14453, -9.36076, 64.0455, -7.27312, 0, 0, 
28, 13, pr: 30 pr: 31 , -9.91649, 65.433, -6.01784, -10.8148, 64.8367, -5.74078, 0, 0, 
29, 13, pr: 36 pr: 37 , -9.91649, 65.433, -6.01784, -10.7284, 64.7224, -6.71544, 0, 0, 
30, 28, pr: 32 pr: 33 , -10.8148, 64.8367, -5.74078, -11.4129, 64.5441, -5.02756, 0, 0, 
31, 28, pr: 34 pr: 35 , -10.8148, 64.8367, -5.74078, -11.0565, 64.8397, -5.77039, 0, 0, 
32, 30, NO CHILDREN, -11.4129, 64.5441, -5.02756, -12.2753, 64.758, -4.62784, 0, 0, 
33, 30, NO CHILDREN, -11.4129, 64.5441, -5.02756, -11.6669, 64.7142, -4.42947, 0, 0, 
34, 31, NO CHILDREN, -11.0565, 64.8397, -5.77039, -11.4628, 64.9581, -5.57054, 0, 0, 
