SEG NUM, PARENT, CHILDREN, STATUS, DIAMETER, START X, START Y, START X, END X, END Y, END Z, LENGTH, ENERGY, VELOCITY, DIST FROM ROOT, FARTHEST DIST FROM ROOT, 
0, NO PARENT, pr: 1 pr: 2 , PRIMARY, 1.26, 0, 100, 0, 0, 81.7433, 0, 18.2567, 1.82567e+06, 0.7938, 0, 0, 
1, 0, pr: 3 pr: 4 , PRIMARY, 0.958341, 0, 81.7433, 0, -3.55339, 71.3056, -1.79776, 11.1716, 1.11716e+06, 0.459209, 0, 0, 
2, 0, pr: 513 pr: 514 , PRIMARY, 0.850362, 0, 81.7433, 0, 5.57496, 70.6839, -1.26052, 12.4491, 1.26309e+06, 0.361558, 0, 0, 
3, 1, pr: 5 pr: 6 , PRIMARY, 0.689658, -3.55339, 71.3056, -1.79776, -3.45473, 66.3956, -4.25338, 5.49068, 549068, 0.237814, 0, 0, 
4, 1, pr: 259 pr: 260 , PRIMARY, 0.703568, -3.55339, 71.3056, -1.79776, 1.90974, 66.2694, -5.69644, 8.391, 743393, 0.247504, 0, 0, 
5, 3, pr: 7 pr: 8 , PRIMARY, 0.548617, -3.45473, 66.3956, -4.25338, -3.83234, 62.3731, -5.72681, 4.30051, 430051, 0.15049, 0, 0, 
6, 3, pr: 133 pr: 134 , PRIMARY, 0.624322, -3.45473, 66.3956, -4.25338, -5.765, 61.0153, -9.04533, 7.56625, 611594, 0.194889, 0, 0, 
7, 5, pr: 9 pr: 10 , PRIMARY, 0.46523, -3.83234, 62.3731, -5.72681, -6.32195, 59.5181, -7.50748, 4.18565, 418565, 0.10822, 0, 0, 
8, 5, pr: 71 pr: 72 , PRIMARY, 0.350006, -3.83234, 62.3731, -5.72681, -4.98818, 60.4847, -6.32347, 2.29299, 274471, 0.0612521, 0, 0, 
9, 7, pr: 11 pr: 12 , PRIMARY, 0.300312, -6.32195, 59.5181, -7.50748, -11.5138, 55.3176, -7.28001, 6.68217, 668217, 0.0450938, 0, 0, 
10, 7, pr: 41 pr: 42 , PRIMARY, 0.27356, -6.32195, 59.5181, -7.50748, -7.06803, 57.8649, -8.96881, 2.32923, 237691, 0.0374174, 0, 0, 
11, 9, pr: 13 pr: 14 , PRIMARY, 0.245225, -11.5138, 55.3176, -7.28001, -12.3418, 54.7535, -7.59673, 1.05081, 105081, 0.0300676, 0, 0, 
12, 9, pr: 27 pr: 28 , PRIMARY, 0.233326, -11.5138, 55.3176, -7.28001, -13.4949, 54.3679, -5.98159, 2.55202, 290053, 0.0272206, 0, 0, 
13, 11, pr: 15 pr: 16 , PRIMARY, 0.153433, -12.3418, 54.7535, -7.59673, -13.2184, 53.7132, -7.79396, 1.37459, 137460, 0.0117709, 0, 0, 
14, 11, pr: 21 pr: 22 , PRIMARY, 0.13814, -12.3418, 54.7535, -7.59673, -12.5004, 53.0377, -7.75728, 1.73058, 176758, 0.00954135, 0, 0, 
15, 13, pr: 17 pr: 18 , PRIMARY, 0.114225, -13.2184, 53.7132, -7.79396, -14.0155, 53.3332, -7.97514, 0.901445, 90144.5, 0.00652371, 0, 0, 
16, 13, pr: 19 pr: 20 , PRIMARY, 0.121224, -13.2184, 53.7132, -7.79396, -14.1286, 52.1096, -7.96725, 1.85199, 194713, 0.00734757, 0, 0, 
17, 15, NO CHILDREN, PRIMARY, 0.0750724, -14.0155, 53.3332, -7.97514, -14.5089, 52.9567, -8.2535, 0.680223, 68022.2, 0.00281794, 0, 0, 
18, 15, NO CHILDREN, PRIMARY, 0.0774871, -14.0155, 53.3332, -7.97514, -14.41, 52.1587, -8.85785, 1.5212, 151364, 0.00300213, 0, 0, 
19, 16, NO CHILDREN, PRIMARY, 0.0830001, -14.1286, 52.1096, -7.96725, -14.9507, 51.3162, -7.91284, 1.14386, 114386, 0.00344451, 0, 0, 
20, 16, NO CHILDREN, PRIMARY, 0.0638706, -14.1286, 52.1096, -7.96725, -14.1883, 51.3307, -8.43956, 0.912872, 94278.3, 0.00203973, 0, 0, 
21, 14, pr: 23 pr: 24 , PRIMARY, 0.0908817, -12.5004, 53.0377, -7.75728, -12.5678, 52.0324, -8.62311, 1.32843, 132843, 0.00412974, 0, 0, 
22, 14, pr: 25 pr: 26 , PRIMARY, 0.118006, -12.5004, 53.0377, -7.75728, -11.8792, 51.0313, -9.67659, 2.84519, 215302, 0.0069627, 0, 0, 
23, 21, NO CHILDREN, PRIMARY, 0.0681181, -12.5678, 52.0324, -8.62311, -12.7887, 51.3692, -9.07632, 0.833102, 83310.4, 0.00232004, 0, 0, 
24, 21, NO CHILDREN, PRIMARY, 0.0820735, -12.5678, 52.0324, -8.62311, -12.2694, 51.4602, -8.968, 0.731734, 81059.1, 0.00336803, 0, 0, 
25, 22, NO CHILDREN, PRIMARY, 0.0977443, -11.8792, 51.0313, -9.67659, -11.8668, 49.183, -10.0188, 1.87977, 187977, 0.00477698, 0, 0, 
26, 22, NO CHILDREN, PRIMARY, 0.0857115, -11.8792, 51.0313, -9.67659, -11.7444, 50.8277, -9.86247, 0.306912, -27255.1, 0.00367323, 0, 0, 
27, 12, pr: 29 pr: 30 , PRIMARY, 0.188511, -13.4949, 54.3679, -5.98159, -15.0715, 52.8971, -4.19105, 2.80263, 280263, 0.0177682, 0, 0, 
28, 12, pr: 35 pr: 36 , PRIMARY, 0.154283, -13.4949, 54.3679, -5.98159, -13.3735, 52.7881, -3.70898, 2.77042, 229611, 0.0119016, 0, 0, 
