SEG NUM, PARENT, CHILDREN, START X, START Y, START X, END X, END Y, END Z, LENGTH, ENERGY, VELOCITY, DIST 2 ROOT, MAX DIST 2 ROOT, 
0, NO PARENT, pr: 1 , 0, 100, 0, 0.308631, 99.1427, 0.258937, 0.947213, 1.43349e+06, 0.7938, 0, 0, 
1, 0, pr: 2 , 0.308631, 99.1427, 0.258937, 0.314172, 98.1981, 0.189773, 0.947209, 1.43349e+06, 0.7938, 0, 0, 
2, 1, pr: 3 , 0.314172, 98.1981, 0.189773, 0.192987, 97.2762, 0.469292, 0.970919, 1.43349e+06, 0.7938, 0, 0, 
3, 2, pr: 4 , 0.192987, 97.2762, 0.469292, 0.256406, 96.3604, 0.152985, 0.970925, 1.43349e+06, 0.7938, 0, 0, 
4, 3, pr: 5 , 0.256406, 96.3604, 0.152985, 0.365499, 95.9093, 0.37189, 0.513176, 1.43349e+06, 0.7938, 0, 0, 
5, 4, pr: 6 , 0.365499, 95.9093, 0.37189, 0.454896, 95.404, 0.369891, 0.513168, 1.43349e+06, 0.7938, 0, 0, 
6, 5, pr: 7 , 0.454896, 95.404, 0.369891, 0.299849, 94.9302, 0.293251, 0.50431, 1.43349e+06, 0.7938, 0, 0, 
7, 6, pr: 8 , 0.299849, 94.9302, 0.293251, 0.207926, 94.4704, 0.107644, 0.504312, 1.43349e+06, 0.7938, 0, 0, 
8, 7, pr: 9 , 0.207926, 94.4704, 0.107644, 0.355842, 93.5817, -0.249735, 0.969208, 1.43349e+06, 0.7938, 0, 0, 
9, 8, pr: 10 , 0.355842, 93.5817, -0.249735, 0.899438, 92.8325, -0.537056, 0.969206, 1.43349e+06, 0.7938, 0, 0, 
10, 9, pr: 11 , 0.899438, 92.8325, -0.537056, 0.973549, 92.4909, -0.140095, 0.528968, 1.43349e+06, 0.7938, 0, 0, 
11, 10, pr: 12 , 0.973549, 92.4909, -0.140095, 0.998437, 92.0406, 0.136422, 0.52896, 1.43349e+06, 0.7938, 0, 0, 
12, 11, pr: 13 , 0.998437, 92.0406, 0.136422, 0.832658, 91.562, 0.26448, 0.522491, 1.43349e+06, 0.7938, 0, 0, 
13, 12, pr: 14 , 0.832658, 91.562, 0.26448, 0.692482, 91.0692, 0.367218, 0.522488, 1.43349e+06, 0.7938, 0, 0, 
14, 13, pr: 15 , 0.692482, 91.0692, 0.367218, 0.701073, 90.589, 0.136329, 0.53295, 1.43349e+06, 0.7938, 0, 0, 
15, 14, pr: 16 , 0.701073, 90.589, 0.136329, 0.641687, 90.2546, -0.274401, 0.532946, 1.43349e+06, 0.7938, 0, 0, 
16, 15, pr: 17 , 0.641687, 90.2546, -0.274401, 0.711149, 89.7269, -0.242699, 0.533168, 1.43349e+06, 0.7938, 0, 0, 
17, 16, pr: 18 , 0.711149, 89.7269, -0.242699, 0.601154, 89.2219, -0.373652, 0.53317, 1.43349e+06, 0.7938, 0, 0, 
18, 17, pr: 19 , 0.601154, 89.2219, -0.373652, 0.472149, 88.3618, -0.0700452, 0.92119, 1.43349e+06, 0.7938, 0, 0, 
19, 18, pr: 20 , 0.472149, 88.3618, -0.0700452, 0.252713, 87.4792, 0.0765404, 0.921184, 1.43349e+06, 0.7938, 0, 0, 
20, 19, pr: 21 , 0.252713, 87.4792, 0.0765404, 0.112346, 86.5613, 0.340345, 0.965309, 1.43349e+06, 0.7938, 0, 0, 
21, 20, pr: 22 pr: 938 , 0.112346, 86.5613, 0.340345, 0, 85.6651, 0, 0.965297, 1.43349e+06, 0.7938, 0, 0, 
22, 21, pr: 23 , 0, 85.6651, 0, -0.00065276, 85.0113, -0.41355, 0.773589, 593004, 0.414396, 0, 0, 
23, 22, pr: 24 , -0.00065276, 85.0113, -0.41355, -0.271343, 84.4812, -0.907658, 0.773586, 593004, 0.414396, 0, 0, 
24, 23, pr: 25 , -0.271343, 84.4812, -0.907658, -0.437315, 83.8011, -1.22219, 0.767459, 593004, 0.414396, 0, 0, 
25, 24, pr: 26 , -0.437315, 83.8011, -1.22219, -0.748804, 83.1111, -1.34797, 0.767457, 593004, 0.414396, 0, 0, 
26, 25, pr: 27 , -0.748804, 83.1111, -1.34797, -1.14078, 82.4139, -1.55609, 0.826436, 593004, 0.414396, 0, 0, 
27, 26, pr: 28 , -1.14078, 82.4139, -1.55609, -1.79995, 81.9799, -1.80131, 0.826441, 593004, 0.414396, 0, 0, 
28, 27, pr: 29 , -1.79995, 81.9799, -1.80131, -1.75164, 81.4671, -2.42965, 0.812431, 593004, 0.414396, 0, 0, 
29, 28, pr: 30 pr: 491 , -1.75164, 81.4671, -2.42965, -1.92444, 80.941, -3.02413, 0.81244, 593004, 0.414396, 0, 0, 
30, 29, pr: 31 , -1.92444, 80.941, -3.02413, -1.38657, 80.3324, -3.4358, 0.91058, 685366, 0.283043, 0, 0, 
31, 30, pr: 32 , -1.38657, 80.3324, -3.4358, -1.08732, 79.6376, -3.94253, 0.910578, 685366, 0.283043, 0, 0, 
32, 31, pr: 33 , -1.08732, 79.6376, -3.94253, -0.922012, 79.0362, -4.6343, 0.93139, 685366, 0.283043, 0, 0, 
33, 32, pr: 34 , -0.922012, 79.0362, -4.6343, -0.621966, 78.858, -5.49784, 0.931388, 685366, 0.283043, 0, 0, 
34, 33, pr: 35 , -0.621966, 78.858, -5.49784, -0.466347, 78.5613, -5.93193, 0.548367, 685366, 0.283043, 0, 0, 
35, 34, pr: 36 , -0.466347, 78.5613, -5.93193, -0.498046, 78.0777, -6.18847, 0.548365, 685366, 0.283043, 0, 0, 
36, 35, pr: 37 , -0.498046, 78.0777, -6.18847, -0.866183, 77.9321, -6.54167, 0.530547, 685366, 0.283043, 0, 0, 
37, 36, pr: 38 , -0.866183, 77.9321, -6.54167, -1.1148, 77.7004, -6.94911, 0.530548, 685366, 0.283043, 0, 0, 
38, 37, pr: 39 , -1.1148, 77.7004, -6.94911, -0.914489, 77.5299, -7.90982, 0.996081, 685366, 0.283043, 0, 0, 
39, 38, pr: 40 pr: 251 , -0.914489, 77.5299, -7.90982, -0.243861, 77.3734, -8.62949, 0.996079, 685366, 0.283043, 0, 0, 
40, 39, pr: 41 , -0.243861, 77.3734, -8.62949, 0.106251, 77.3082, -9.37895, 0.829765, 639311, 0.124733, 0, 0, 
41, 40, pr: 42 , 0.106251, 77.3082, -9.37895, 0.126521, 77.442, -10.1976, 0.829764, 639311, 0.124733, 0, 0, 
42, 41, pr: 43 , 0.126521, 77.442, -10.1976, 0.346208, 77.5769, -10.9621, 0.806773, 639311, 0.124733, 0, 0, 
43, 42, pr: 44 , 0.346208, 77.5769, -10.9621, 0.521558, 77.6903, -11.7414, 0.806773, 639311, 0.124733, 0, 0, 
44, 43, pr: 45 , 0.521558, 77.6903, -11.7414, 0.871176, 77.9079, -12.4414, 0.812193, 639311, 0.124733, 0, 0, 
45, 44, pr: 46 , 0.871176, 77.9079, -12.4414, 1.25883, 78.2245, -13.0811, 0.812195, 639311, 0.124733, 0, 0, 
46, 45, pr: 47 , 1.25883, 78.2245, -13.0811, 1.6112, 78.2821, -13.8141, 0.815372, 639311, 0.124733, 0, 0, 
47, 46, pr: 48 pr: 152 , 1.6112, 78.2821, -13.8141, 1.83972, 78.4799, -14.5714, 0.815374, 639311, 0.124733, 0, 0, 
48, 47, pr: 49 , 1.83972, 78.4799, -14.5714, 1.63924, 78.2601, -15.3881, 0.869183, 339006, 0.059756, 0, 0, 
49, 48, pr: 50 , 1.63924, 78.2601, -15.3881, 1.29188, 78.332, -16.1816, 0.869183, 339006, 0.059756, 0, 0, 
50, 49, pr: 51 , 1.29188, 78.332, -16.1816, 1.36059, 78.5176, -17.0583, 0.898723, 339006, 0.059756, 0, 0, 
51, 50, pr: 52 pr: 100 , 1.36059, 78.5176, -17.0583, 0.896234, 78.5614, -17.8265, 0.898723, 339006, 0.059756, 0, 0, 
52, 51, pr: 53 , 0.896234, 78.5614, -17.8265, 0.58374, 78.3441, -18.2325, 0.556491, 212907, 0.0249274, 0, 0, 
53, 52, pr: 54 , 0.58374, 78.3441, -18.2325, 0.158649, 78.0402, -18.4239, 0.55649, 212907, 0.0249274, 0, 0, 
54, 53, pr: 55 , 0.158649, 78.0402, -18.4239, 0.0235392, 77.8948, -18.9535, 0.565585, 212907, 0.0249274, 0, 0, 
55, 54, pr: 56 pr: 78 , 0.0235392, 77.8948, -18.9535, -0.284768, 77.5553, -19.2846, 0.565584, 212907, 0.0249274, 0, 0, 
56, 55, pr: 57 , -0.284768, 77.5553, -19.2846, -1.04953, 77.186, -19.4497, 0.865166, 340879, 0.0152308, 0, 0, 
57, 56, pr: 58 , -1.04953, 77.186, -19.4497, -1.81172, 76.9118, -19.7536, 0.865169, 340879, 0.0152308, 0, 0, 
58, 57, pr: 59 , -1.81172, 76.9118, -19.7536, -2.51756, 76.6718, -20.2378, 0.888951, 340879, 0.0152308, 0, 0, 
59, 58, pr: 60 pr: 69 , -2.51756, 76.6718, -20.2378, -3.38559, 76.7154, -20.4245, 0.888951, 340879, 0.0152308, 0, 0, 
60, 59, pr: 61 pr: 65 , -3.38559, 76.7154, -20.4245, -3.53391, 76.765, -20.4503, 0.158493, 15849.2, 0.0093865, 0, 0, 
61, 60, pr: 62 , -3.53391, 76.765, -20.4503, -3.98776, 77.0636, -20.7584, 0.624543, 120400, 0.00365582, 0, 0, 
62, 61, pr: 63 pr: 64 , -3.98776, 77.0636, -20.7584, -4.27501, 77.1913, -21.298, 0.624539, 120400, 0.00365582, 0, 0, 
63, 62, NO CHILDREN, -4.27501, 77.1913, -21.298, -4.69001, 77.9002, -21.513, 0.84907, 84907.2, 0.00195073, 0, 0, 
64, 62, NO CHILDREN, -4.27501, 77.1913, -21.298, -4.32319, 77.4582, -22.0702, 0.818411, 81841.2, 0.00182946, 0, 0, 
65, 60, pr: 66 , -3.53391, 76.765, -20.4503, -3.98395, 77.0127, -20.0501, 0.651197, 126802, 0.00437088, 0, 0, 
66, 65, pr: 67 pr: 68 , -3.98395, 77.0127, -20.0501, -4.59147, 77.1842, -19.8903, 0.6512, 126802, 0.00437088, 0, 0, 
67, 66, NO CHILDREN, -4.59147, 77.1842, -19.8903, -4.99329, 77.0853, -19.6724, 0.467632, 46763.3, 0.00161753, 0, 0, 
68, 66, NO CHILDREN, -4.59147, 77.1842, -19.8903, -4.71656, 77.1398, -19.7011, 0.231096, 23109.5, 0.00185286, 0, 0, 
69, 59, pr: 70 , -3.38559, 76.7154, -20.4245, -3.94902, 76.4746, -20.6653, 0.658356, 126842, 0.0073144, 0, 0, 
70, 69, pr: 71 pr: 75 , -3.94902, 76.4746, -20.6653, -4.25751, 76.0267, -21.0363, 0.658358, 126842, 0.0073144, 0, 0, 
71, 70, pr: 72 pr: 74 , -4.25751, 76.0267, -21.0363, -4.64863, 75.8997, -21.7741, 0.844685, 84468.5, 0.0039293, 0, 0, 
72, 71, pr: 73 , -4.64863, 75.8997, -21.7741, -4.41728, 75.9706, -22.4442, 0.712436, 141342, 0.00228533, 0, 0, 
73, 72, NO CHILDREN, -4.41728, 75.9706, -22.4442, -4.35435, 75.9906, -23.1536, 0.712434, 141342, 0.00228533, 0, 0, 
74, 71, NO CHILDREN, -4.64863, 75.8997, -21.7741, -4.75518, 76.0487, -22.4086, 0.660336, 66033.7, 0.00202712, 0, 0, 
75, 70, pr: 76 pr: 77 , -4.25751, 76.0267, -21.0363, -4.46056, 75.9179, -21.4796, 0.499575, 49957.5, 0.00484577, 0, 0, 
76, 75, NO CHILDREN, -4.46056, 75.9179, -21.4796, -5.21759, 75.6735, -21.8134, 0.862697, 86269.6, 0.00249186, 0, 0, 
77, 75, NO CHILDREN, -4.46056, 75.9179, -21.4796, -4.85555, 75.9715, -21.7406, 0.476446, 47644.6, 0.00250526, 0, 0, 
78, 55, pr: 79 , -0.284768, 77.5553, -19.2846, -0.664057, 76.741, -19.4326, 0.910442, 353432, 0.0156341, 0, 0, 
79, 78, pr: 80 , -0.664057, 76.741, -19.4326, -1.10848, 76.0875, -19.8846, 0.910448, 353432, 0.0156341, 0, 0, 
80, 79, pr: 81 , -1.10848, 76.0875, -19.8846, -1.63402, 75.4097, -20.1824, 0.907886, 353432, 0.0156341, 0, 0, 
81, 80, pr: 82 pr: 90 , -1.63402, 75.4097, -20.1824, -2.3452, 74.8487, -20.2439, 0.907884, 353432, 0.0156341, 0, 0, 
82, 81, pr: 83 pr: 86 , -2.3452, 74.8487, -20.2439, -2.18718, 73.9398, -20.4226, 0.939701, 93970.4, 0.0065143, 0, 0, 
83, 82, pr: 84 pr: 85 , -2.18718, 73.9398, -20.4226, -2.31869, 73.3434, -20.8255, 0.73165, 73165.2, 0.00368004, 0, 0, 
