ITS PER TEST: 10

           , , , GEN: JITTER + FORK ,                       ,       ,   ,    , ,             ,   ,       ,   ,    , , , GEN: STREAMER    ,                                  ,       ,   ,    , ,             ,   ,       ,   ,    , , , GEN: STREAMER    , 
           , , , OTHER TRANSFORMS:  , NONE                  ,       ,   ,    , ,             ,   ,       ,   ,    , , , OTHER TRANSFORMS:, NONE                             ,       ,   ,    , ,             ,   ,       ,   ,    , , , OTHER TRANSFORMS:, WHOLE                          , BRANCHIFIER, 
           , , , ITERATIONS:        ,6, NONE  ,   ,    , ,             ,   ,       ,   ,    , , , MAX LAYERS:      ,7,       ,   ,    , ,             ,   ,       ,   ,    , , , MAX LAYERS:      ,8, WHOLE, BRANCHIFIER, 
MAX SEG LEN, , , TIME(microsecs)    ,                       ,       ,   ,    , , NUM SEGMENTS,   ,       ,   ,    , , , TIME(microsecs)  ,                                  ,       ,   ,    , , NUM SEGMENTS,   ,       ,   ,    , , , TIME(microsecs)  ,                                ,            ,   ,    , , NUM SEGMENTS, 
           , , , MIN                , Q1                    , MEDIAN, Q3, MAX, , MIN         , Q1, MEDIAN, Q3, MAX, , , MIN              , Q1                               , MEDIAN, Q3, MAX, , MIN         , Q1, MEDIAN, Q3, MAX, , , MIN              , Q1                             , MEDIAN     , Q3, MAX, , MIN         , Q1, MEDIAN, Q3, MAX, 
10, , , 79, 109, 137, 137, 284, , 70, 98, 135, 136, 149, , , 109, 147, 180, 216, 330, , 127, 128, 130, 130, 134, , , 251, 289, 387, 397, 554, , 251, 289, 387, 397, 554, 
9.505, , , 77, 113, 133, 155, 284, , 67, 110, 133, 146, 166, , , 109, 147, 176, 206, 330, , 127, 129, 130, 133, 134, , , 221, 271, 321, 397, 554, , 221, 271, 321, 397, 554, 
9.01, , , 77, 111, 133, 151, 284, , 67, 121, 135, 148, 192, , , 109, 135, 171, 183, 330, , 127, 129, 130, 132, 134, , , 218, 256, 289, 330, 554, , 218, 256, 289, 330, 554, 
8.515, , , 66, 110, 133, 163, 416, , 67, 119, 133, 149, 200, , , 108, 131, 171, 197, 330, , 127, 129, 131, 133, 135, , , 213, 251, 298, 387, 601, , 213, 251, 298, 387, 601, 
8.02, , , 66, 111, 134, 155, 416, , 67, 117, 135, 154, 216, , , 108, 126, 166, 183, 330, , 127, 129, 131, 133, 139, , , 213, 245, 282, 382, 601, , 213, 245, 282, 382, 601, 
7.525, , , 66, 113, 133, 168, 416, , 67, 119, 133, 155, 216, , , 108, 126, 147, 190, 330, , 127, 129, 131, 134, 139, , , 213, 245, 282, 382, 601, , 213, 245, 282, 382, 601, 
7.03, , , 66, 113, 134, 172, 416, , 67, 119, 136, 155, 216, , , 108, 130, 147, 196, 330, , 127, 130, 132, 134, 141, , , 213, 245, 282, 382, 601, , 213, 245, 282, 382, 601, 
6.535, , , 66, 112, 132, 168, 416, , 67, 121, 138, 155, 216, , , 108, 131, 142, 190, 330, , 127, 130, 132, 134, 145, , , 213, 245, 281, 374, 601, , 213, 245, 281, 374, 601, 
6.04, , , 66, 112, 132, 155, 416, , 67, 121, 141, 155, 216, , , 108, 131, 141, 180, 330, , 127, 130, 133, 135, 148, , , 213, 245, 281, 370, 601, , 213, 245, 281, 370, 601, 
5.545, , , 66, 111, 132, 154, 416, , 67, 119, 141, 156, 216, , , 108, 131, 142, 178, 330, , 127, 131, 133, 136, 148, , , 213, 251, 281, 370, 645, , 213, 251, 281, 370, 645, 
