ITS PER TEST: 1000

          , , TIME (microsecs),   ,       ,   ,    , , NUM SEGMENTS, 
NUM LAYERS, , MIN             , Q1, MEDIAN, Q3, MAX, , MIN, Q1, MEDIAN, Q3, MAX, 
1, , 0, 0, 0, 0, 13241, , 1, 1, 1, 1, 1, 
2, , 1, 1, 1, 1, 10, , 3, 3, 3, 3, 3, 
3, , 3, 3, 3, 4, 17, , 7, 7, 7, 7, 7, 
4, , 6, 7, 7, 8, 35, , 15, 15, 15, 15, 15, 
5, , 14, 15, 15, 15, 69, , 31, 31, 31, 31, 31, 
6, , 29, 30, 31, 35, 51, , 63, 63, 63, 63, 63, 
7, , 59, 62, 66, 68, 129, , 127, 127, 127, 127, 127, 
8, , 121, 127, 128, 129, 275, , 255, 255, 255, 255, 255, 
9, , 243, 251, 252, 254, 544, , 511, 511, 511, 511, 511, 
10, , 478, 488, 492, 495, 689, , 1023, 1023, 1023, 1023, 1023, 
