ITS PER TEST: 1000

GEN: JITTER+FORK, 
TRANSFORMS:, NONE, 
ITERATIONS:, 6

                , MIN , Q1, MEDIAN, Q3, MAX, 
TIME(microsecs):, 40, 73, 86, 102, 12950, 
NUM SEGMENTS:, 65, 115, 138, 160, 221, 

GEN: STREAMER, 
TRANSFORMS:, NONE, 
MAX LAYERS:, 7

                , MIN , Q1, MEDIAN, Q3, MAX, 
TIME(microsecs):, 61, 63, 68, 69, 138, 
NUM SEGMENTS:, 127, 127, 127, 127, 127, 

GEN: STREAMER, 
TRANSFORMS:, WHOLE, BRANCHIFIER, 
MAX LAYERS:, 8

                , MIN , Q1, MEDIAN, Q3, MAX, 
TIME(microsecs):, 136, 144, 145, 146, 273, 
NUM SEGMENTS:, 92, 92, 92, 92, 92, 

